id,color,zone,x_min,y_min,x_max,y_max,width,height,area,fill_ratio,center_x,center_y,avg_r,avg_g,avg_b
1,blue,top-left,93,52,402,202,309,150,45559,0.98,247.1,126.7,175,197,241
2,blue,top-center,531,52,756,380,225,328,72223,0.98,642.6,215.3,176,197,240
3,blue,top-center,772,52,997,380,225,328,72361,0.98,883.9,215.1,176,197,240
4,beige,top-center,1012,52,1261,310,249,258,61932,0.96,1136.8,179.7,247,243,223
5,beige,top-center,1277,52,1523,379,246,327,78006,0.97,1400.0,215.2,247,243,223
6,gray,top-center,1533,52,1848,379,315,327,100347,0.97,1690.4,214.9,200,199,193
7,beige,top-right,1862,204,2078,461,216,257,53737,0.97,1969.7,332.0,246,242,223
8,blue,top-left,88,235,399,385,311,150,45744,0.98,242.5,309.6,176,198,240
9,blue,top-left,88,419,398,569,310,150,45644,0.98,242.7,493.1,175,196,238
10,beige,middle-right,1748,519,2084,795,336,276,89454,0.96,1915.0,656.4,246,242,222
11,gray,middle-center,677,540,1064,948,387,408,154267,0.98,870.1,743.8,200,198,192
12,gray,middle-center,1090,550,1315,877,225,327,72276,0.98,1201.8,713.2,200,199,192
13,gray,middle-center,1330,550,1558,877,228,327,72966,0.98,1443.1,713.2,200,199,192
14,blue,middle-left,88,592,398,743,310,151,46003,0.98,242.6,667.3,175,197,240
15,blue,middle-left,92,770,402,920,310,150,45469,0.98,246.8,844.0,176,196,238
16,green,middle-right,1764,873,2092,1001,328,128,41488,0.99,1927.3,936.5,163,224,194
17,beige,middle-center,1089,906,1314,1098,225,192,41325,0.96,1201.3,1001.8,246,242,222
18,beige,middle-center,1330,906,1549,1282,219,376,79836,0.97,1438.9,1093.4,246,242,222
19,blue,middle-left,92,949,402,1099,310,150,45612,0.98,246.7,1023.3,175,196,238
20,beige,middle-center,689,976,1000,1177,311,201,60316,0.96,843.6,1075.7,246,242,222
21,pink,middle-right,1757,1018,2083,1229,326,211,67546,0.98,1919.8,1122.9,241,175,177
22,beige,middle-center,1138,1124,1323,1282,185,158,28098,0.96,1230.2,1202.2,245,242,222
23,blue,middle-left,93,1131,520,1401,427,270,112886,0.98,306.1,1265.1,176,198,238
24,pink,middle-center,689,1195,1005,1466,316,271,83753,0.98,846.6,1330.1,240,175,177
25,pink,middle-right,1764,1251,2091,1463,327,212,68113,0.98,1927.0,1356.5,240,175,177
26,beige,bottom-left,92,1418,521,1770,429,352,146524,0.97,305.7,1593.8,244,239,220
