제품,목록,,,26.1.15,26.01.31,유효기간
필러,수입,레스틸렌,DEFYNE,9,12,27.01.31(9)/27.05.31(5)
,,,VOLYME,10,11,26.08.31(1)/27.01.31(9)
,,,KYSSE,11,11,26.11.30(1)/27.03.31(10)
,,,Vital,13,14,27.02.28
,,,리프트,13,10,28.02.28
,,벨로테로,소프트,13,9,26.10.01(1)/26.12.17(3)/27.02.19(5)
,,,볼룸,13,13,26.09.11
,,,인텐스,28,30,26.10.22
,,,발란스,10,10,26.09.22(2)/27.01.17(10)
,,,리바이브,12,13,26.09.09(5)/26.09.30(7)
,,쥬비덤,볼벨라,55,30,27.03.17
,,,볼루마,28,25,27.02.26
,,,볼리프트,38,24,27.02.18(3)/27.03.15(19.5)
,,,볼룩스,40,24,26.12.22
,국프,로리앙,no2,6,6,26.11.19
,,,no4,14,14,26.11.26
,,,no6,6,6,26.12.03
,국산,뉴라미스,Silver,25,26,26.11.11
,,,Volume,14,16,26.12.09
,,,DEEP,4,8,26.04.14(4)/26.11.18(4)
,,큐티필,Fine,9,9,25.03.19(1개)/25.11.28(8개)
,,순수필,100,5,5,26.11.07
,바디필러,e.p.t.q. eve S Plus 3.0ml,e.p.t.q. eve S Plus 3.0ml,44,45box,27.03.27
"보톡스
(★냉장)",수입,제오민,,20,18,27.09.30
,,앨러간,,5,12,27.09.28
,국산 프리미엄,제테마더톡신주,,60,78,28.02.19
,국산,하이톡스,,125,138,27.07.02
스킨부스터,리쥬란힐러,,,21,34,27.06.21
,리쥬란 아이,,,60,80,27.07.03
,리쥬란 HB    ★냉장,,,75,119,27.05.09
,쥬베룩 볼륨  ★냉장,,,18,24,27.08.24
,쥬베룩 스킨부스터,,,26,31,27.08.05
,스컬트라,,,6,6,28.01.00
,리투오,,,18,30,29.12.23
,LAFULLEN ,LAFULLEN ,LAFULLEN ,2,2,27.05.17
,큐티셀 블랙 오리진★냉장,,,17,17,27.03.17
,로리앙엘리멘트,1제 (앰플/투명)★냉장,,4,4,27.02.07
,,2제 (가루/갈색)★냉장,,4,4,27.05.02
,레디어스,,,14,16,27.02.14
,볼라썸,,,17,33,27.01.11
,뉴아티,,,19,8,28.08.20
,샤넬주사,,,8,9,26.06.00
실리프팅,실루엣소프트 8 ★냉장,,,4,4,27.01.00
,실루엣소프트 12 ★냉장,,,14,14,27.01.00
,민트실 리프트업,,,30,30,28.01.19
,네오닥터JAMBER 23G*60,,,10,10,27.08.06
,네오닥터JAMBER 27G*50,,,4,4,27.04.02
,에피티콘 Thin(sam),,,4,4,26.08.22
,에피티콘 jamber(sam) 25G*50,,,2,2,27.02.19
,콘셀티나 19*100,,,40,40,26.09.22
,콘셀티나 19*60,,,18,18,26.02.13
,콘셀티나 19*40,,,20,20,26.07.09
,압토스 visage,,,3,,28.01(2)/28.02(1)
,압토스 ligh lift 500mm,,,,1,26.11
,압토스 ligh lift 250mm,,,,2,28.11
,미니팅(sam),,,4,,28.10.21
윤곽주사,아미노필린,,,47,50,28.08.17
,브이올렛(box),,,11,11,17.04.03(1)/28.03.13(90
향정신성,프로포폴 ★마약냉장,,,13,6,28.02.18(3)/27.01.27(10)
,미다졸람★마약냉장,,,8,10,28.08.19
,케타민 ★마약냉장,,,4,6,27.01.19
약물,리도카인,덴탈 1.8ml,,50,30,27.03.26
,,리도카인20ml ★냉장,,41,46,28.03.24(3)/28.09.10(40)
,라이넥,,,21,44,27.10.27
,차오델라,,,9,9,28.04.13
,리보비타주,,,92,98,27.07.31
,리비탈렉스,,,12,12,27.07.07(2)/27.12.03(10)
,디톡시온,,,23,31,28.06.25(8)/28.11.09(20)
,카르티닌,,,22,25,27.08.15
,리쥬비넥스 앰플,,,3,3,27.09.23
,덱사,,,64,108,28.09.14(78)
,트리암(염증주사),,,35,35,26.09.07(5개)/ 28.07.16
,아르믹스주,,,5,5,28.02.05
,비비에스 ★냉장,,,5,5,28.01.08
,포비원,,,20,20,27.12.10
,비타모★냉장,,,17,28,26.12.05
,하이코민,,,47,50,28.08.10
,모비눌,,,28,50,28.08.26
,피리독신염산염(비타민 B),,,29,29,27.12.17
,마시주사(진경제),,,5,5,28.01.12
,히루니다제,,,28,31,28.08.13(8)/28.09.04(20)
,지씨아르기닌,,,6,6,27.10.16
,아스크로브산,,,38,43,28.03.26
,페니라민,,,73,113,28.05.24(50)/28.05.24(36)
,비타벨라,,,90,90,27.10.27
몰딩연고,에펙신,,,2,2,
,포러스,,,5,5,
,타라비드,,,9,9,
기타연고,에스로반,,,2,2,
,아드반탄,,,0,0,
,더마톱,,,1,1,
,토라신,,,1,1,
그리다,연고,,,9,9,27.11.19
,바늘,,,15,15,
,Care Patch,,,1,1,
