목록,,25.1.15,25.1.31,유효기간,
니들(box),18G,5,,28.04.20,
,21G,1,,28.01.09,
,23G,8,,26.12.05,
,25G,9,,28.04.22,
,27G,4,,28.04.20,
,29G,2,,27.09.19,
,30G,4,,28.03.26,
,30G(나노),1,,24.06.02,
,32G(나노),1,,27.10.21,
,33G(나노),1,,28.04.05,
,34G(나노),1,,28.03.26,
,34G(나노/2mm),1,,,
,Dental 30G,8,,29.02.22,
케뉼라(box),21G,1,,24.12.07,
,23G ,5,,28.02.24,
,25G,0,,27.02.15,
,27G,1,,28.07.09,
카테터(box),24G,2,,27.04.26,
롱니들(box),25G,1,,26.03.00,
주사기(box),1cc,4,,28.01.21,
,3cc,3,,26.10.31,
,5cc,3,,28.12.19,
,10cc,2,,26.04.25,
,20cc,1,,,
,50cc,0,,28.03.11,
,1cc 루어락,5,,28.03.31,
,10cc 루어락,1,,29.12.00,
,인슐린 0.5,6,,27.09.19,
,인슐린 1.0,2,,26.11.21,
수액(box),수액 set,142,,27.12.24,
,Y수액 set ,41,,,
,익스텐션,58,,28.03.18,
,N/S 50,50,,28.02.10,
,N/S 100,60,,28.05.13,
,N/S 20ml,0,,28.01.10,
,멸균증류수 1L,2,,28.02.19,
거즈,부직포(보릭),22,,,
,코튼솜,3,,,
,포장 4*4,1,,,
,4*4,1,,,
,2*2 ,10,,,
,탈지면(묶음),9,,,
소독,베타딘,2,,27.12.18,
,에탄올,3,,28.06.04,
,대일밴드,1,,,
,모아랩 밴드,7,,,
기타(box),롱 면봉,8,,,
,나비바늘,2,,,
,3way,1,,26.11.16,
,XS글러브,3,,,
,S글러브,6,,,
,멸균S글러브,1,,,
,멸균M글러브,2,,,
,테이프 1/2,2,,,
,테이프(box*10),1,,,
,초음파젤,1,,,
,덴탈마스크,7,,,
,수술용 모자,1,,,
,소독기테이프,2,,,
폼,듀오덤,3,,,
,메디폼 2mm,2,,,
,메디폼 5mm,6,,,
,이지덤,7,,,
,,,,,
,팁종류,25.12.12,25.12.31,,
슈링크,4.5,1,,,
,3,1,,,
,2,1,,,
,1.5,1,,,
울쎄라,4.5,4,,,
,3,10,,,
,1.5,3,,,
덴서티,가스,22,,,
,팁,48,,,
,플루이드,70,,,
,패치(1pack *5),10,,,
포텐자,CP(1box *5),5,,,
,NP(1box *5),3,,,
,A1-12,12,,,
,플루이드,7,,,
,패치(20회),4,,,
써마지,가스,32,,,
,600팁,5,,,
,900팁,3,,,
,225팁(I),6,,,
,아이쉴드,1,,,
,플루이드(6개 *1box),18,,,
,패치(1pack*12 ),11,,,
,marking 0.25,6,,,
,marking 0.4,10,,,
