샘플목록,,,,유통기한,,,,,,
업데이트 날짜,,2026-01-28,,,,,,,,
필러,AVALON,FINE (lido x) - 30G ,1,26.09.09,,,,,,
,,FINE PLUS (+lido),1,26.07.03,,,,,,
,,VITAL (lido x) - 27G,1,26.06.03,,,,,,
,,VITAL PLUS (+lido),1,27.02.24,,,,,,
,,ULTRA PLUS (+lido) - 25G/27G,1,27.01.13,,,,,,
,,GRAND PLUS (+lido) - 25G,1,27.03.26,,,,,,
,뉴라미스 하트,,2,27.07.31,,,,,,
,뉴라미스 스킨,,2,27.11.01,,,,,,
,HyalDEW,,1,,,,,,,
,REJUVIEL C ,,1,27.06.25,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
부스터,UPTIVE,PN+HA 5ml,4,26.10.27,,,,,,
,쥬브아셀,ECM 8% (HA 2 + NS 2 + LIDO 1~2 믹스) 쥬베룩 볼륨 느낌 1cc,1,27.10.14,,,,,,
,,ECM 3% (HA 2 + NS 2 + LIDO 1~2 믹스) 눈밑/팔자 등 얕게 1cc,1,27.10.21,,,,,,
,D+CELL,PDRN 2.2ml,5,27.02.18,,,,,,
,SACCI,EXOBM - 식물엑소좀 (1제 + 2제 6ml) set,1,27.07.20,,,,,,
,,EXO REBORN  - 지방엑소좀 50mg (NS 5cc 믹스),2,28.01.06,,,,,,
,,EXOVIS - 지방엑소좀 150mg (NS 10cc 믹스),1,26.11.02,,,,,,
,,매쿰 - PLA (NS 6cc 믹스) ,2,28.04.13,,,,,,
,에버클,에버클V - PLLA 100 (뉴아티와 믹스) - 볼륨,1,26.10.10,,,,,,
,,에버클 - PLLA 50 (뉴아티와 믹스) - 스킨부스터,1,26.09.19,,,,,,
,울트라콜,,1,25.05.21,,,,,,
,콜라움,,1,26.09.11,,,,,,
,할로웨이브,,2,26.09.22,,,,,,
,,,,,,,,,,
,,,,,,,,,,
실,젬버,볼64,5,27.01.07,,,,,,
,,중안면46,5,27.01.22,,,,,,
,,중안면34,5,27.01.21,,,,,,
,,불독살35,5,26.09.24,,,,,,
